image_id,center_lng,center_lat,nadir_lng,nadir_lat,corner1_lng,corner1_lat,corner2_lng,corner2_lat,corner3_lng,corner3_lat,corner4_lng,corner4_lat,altitude,lens_size,frame_width,frame_height,taken_utc,mission_name,spacecraft,camera_dir,orbit_num,image_page,image_link,kml_link,schools
"168861","158.0275376","40.4608432","158.0275376","40.4718432","158.392896","40.793664","158.401896","40.1220224","157.6588208","40.1188432","157.6578208","40.7898432","18.377","6","20.353","17.049","2012-10-24 01:34:58.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438283","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438284","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168861","UCSD"
"168862","158.0253584","39.9140224","158.0253584","39.9258432","158.387896","40.2478432","158.396896","39.5758432","157.659","39.5720224","157.658","40.244664","18.394","6","20.383","17.067","2012-10-24 01:35:08.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438289","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438290","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168862","UCSD"
"168863","158.0233584","39.3678432","158.0233584","39.3798432","158.382896","39.7018432","158.3927168","39.0290224","157.659","39.0258432","157.6588208","39.6988432","18.411","6","20.401","17.085","2012-10-24 01:35:18.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438293","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438294","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168863","UCSD"
"168864","158.0213584","38.8218432","158.0213584","38.8338432","158.3787168","39.1558432","158.387896","38.4828432","157.6598208","38.4798432","157.659","39.1528432","18.429","6","20.403","17.099","2012-10-24 01:35:28.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438297","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438298","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168864","UCSD"
"168870","158.0083584","35.5458432","158.0075376","35.5568432","158.3517168","35.8818432","158.3617168","35.2040224","157.6591792","35.2008432","157.659","35.8778432","18.545","6","20.537","17.210","2012-10-24 01:36:28.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438301","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438302","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168870","UCSD"
"168871","158.0055376","34.9998432","158.0053584","35.0108432","158.3477168","35.3358432","158.3577168","34.6578432","157.659","34.6540224","157.659","35.332664","18.566","6","20.565","17.229","2012-10-24 01:36:38.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438305","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438306","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168871","UCSD"
"168872","158.0033584","34.4530224","158.0033584","34.4648432","158.3437168","34.790664","158.3537168","34.1118432","157.659","34.1078432","157.6581792","34.7868432","18.587","6","20.583","17.254","2012-10-24 01:36:48.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438309","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438310","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168872","UCSD"
"168873","158.0013584","33.9068432","158.0013584","33.9188432","158.3397168","34.2448432","158.3497168","33.5650224","157.659","33.5610224","157.658","34.2408432","18.609","6","20.610","17.267","2012-10-24 01:36:58.208","MoonKAM Extended Mission","Flow","nadir","5298"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438313","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438314","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168873","UCSD"
"168966","157.2410128","72.8976236","157.2410128","72.9070002","158.1563108","73.2110002","158.1405576","72.5740002","156.3420914","72.5736236","156.3247148","73.2110002","17.441","6","19.318","16.183","2012-10-24 03:15:36.234","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438317","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438318","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168966","UCSD"
"168989","157.1245064","60.3236236","157.1245064","60.3330002","157.6558958","60.6350002","157.6595192","60.0050002","156.5937404","60.0036236","156.590117","60.6336236","17.246","6","19.099","15.999","2012-10-24 03:19:26.234","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438321","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438322","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168989","UCSD"
"168990","157.1211298","59.7770002","157.1211298","59.7866236","157.6435192","60.0880002","157.6475192","59.4586236","156.599117","59.4570002","156.595117","60.0870002","17.244","6","19.090","16.001","2012-10-24 03:19:36.234","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438325","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438326","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168990","UCSD"
"168991","157.1175064","59.2300002","157.1175064","59.2400002","157.6315192","59.5416236","157.6355192","58.9120002","156.6034936","58.9100002","156.600117","59.5400002","17.243","6","19.094","16.003","2012-10-24 03:19:46.234","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438329","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438330","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168991","UCSD"
"168992","157.1141298","58.6830002","157.1141298","58.6930002","157.6195192","58.9950002","157.6241426","58.3650002","156.608117","58.3630002","156.605117","58.9930002","17.242","6","19.099","15.999","2012-10-24 03:19:56.234","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438333","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438334","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168992","UCSD"
"168994","156.9830986","31.4424671","156.9830986","31.4544671","157.2991972","31.7669178","157.3086479","31.1134671","156.6625493","31.1104671","156.6625493","31.7629178","17.882","6","19.796","16.590","2012-10-24 03:28:14.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438337","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438338","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168994","UCSD"
"168995","156.9810986","30.8959178","156.9810986","30.9079178","157.2951972","31.2209178","157.3051972","30.5664671","156.6615493","30.5634671","156.6615493","31.2173685","17.909","6","19.833","16.615","2012-10-24 03:28:24.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438341","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438342","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168995","UCSD"
"168996","156.9786479","30.3499178","156.9786479","30.3614671","157.2916479","30.6749178","157.3016479","30.0194671","156.6605493","30.0164671","156.6605493","30.6719178","17.936","6","19.872","16.643","2012-10-24 03:28:34.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438345","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438346","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168996","UCSD"
"168997","156.9760986","29.8034671","156.9760986","29.8149178","157.2881972","30.1289178","157.2981972","29.4729178","156.6595493","29.4694671","156.6595493","30.1259178","17.964","6","19.895","16.670","2012-10-24 03:28:44.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438349","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438350","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168997","UCSD"
"168998","156.9740986","29.2569178","156.9740986","29.2689178","157.2846479","29.5829178","157.2946479","28.9264671","156.6585493","28.9224671","156.6585493","29.5799178","17.992","6","19.917","16.693","2012-10-24 03:28:54.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438353","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438354","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168998","UCSD"
"168999","156.9720986","28.7104671","156.9720986","28.7224671","157.2816479","29.0373685","157.2916479","28.3794671","156.6575493","28.3754671","156.6575493","29.0339178","18.021","6","19.954","16.728","2012-10-24 03:29:04.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438357","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438358","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=168999","UCSD"
"169000","156.9700986","28.1639178","156.9700986","28.1759178","157.2781972","28.4919178","157.2886479","27.8324671","156.6565493","27.8284671","156.6565493","28.4879178","18.051","6","19.993","16.756","2012-10-24 03:29:14.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438361","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438362","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169000","UCSD"
"169001","156.9680986","27.6179178","156.9680986","27.6299178","157.2746479","27.9459178","157.2856479","27.2854671","156.6555493","27.2814671","156.6555493","27.9419178","18.081","6","20.024","16.779","2012-10-24 03:29:24.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438365","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438366","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169001","UCSD"
"169004","156.9610986","25.9789178","156.9610986","25.9909178","157.2656479","26.3083685","157.2756479","25.6444671","156.6515493","25.6404671","156.6520986","26.3049178","18.175","6","20.136","16.866","2012-10-24 03:29:54.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438369","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438370","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169004","UCSD"
"169005","156.9590986","25.4324671","156.9590986","25.4449178","157.2626479","25.7629178","157.2726479","25.0974671","156.6505493","25.0934671","156.6505493","25.7589178","18.207","6","20.175","16.896","2012-10-24 03:30:04.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438373","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438374","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169005","UCSD"
"169006","156.9570986","24.8859178","156.9570986","24.8984671","157.2596479","25.2169178","157.2700986","24.5504671","156.6495493","24.5464671","156.6495493","25.2133685","18.240","6","20.212","16.923","2012-10-24 03:30:14.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438377","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438378","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169006","UCSD"
"169007","156.9550986","24.3399178","156.9550986","24.3519178","157.2566479","24.6713685","157.2676479","24.0039178","156.6480986","23.9999178","156.6480986","24.6679178","18.273","6","20.244","16.962","2012-10-24 03:30:24.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438381","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438382","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169007","UCSD"
"169008","156.9530986","23.7939178","156.9530986","23.8059178","157.2536479","24.1259178","157.2646479","23.4574671","156.6465493","23.4534671","156.6465493","24.1219178","18.307","6","20.266","16.994","2012-10-24 03:30:34.507","MoonKAM Extended Mission","Flow","nadir","5299"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=438385","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=438386","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=169008","UCSD"
