image_id,center_lng,center_lat,nadir_lng,nadir_lat,corner1_lng,corner1_lat,corner2_lng,corner2_lat,corner3_lng,corner3_lat,corner4_lng,corner4_lat,altitude,lens_size,frame_width,frame_height,taken_utc,mission_name,spacecraft,camera_dir,orbit_num,image_page,image_link,kml_link,schools
"50","-150.649956","82.6578068","-151.306428","86.243786","-141.5850132","85.132648","-164.0734652","84.6866348","","","","","64.136","6","0.000","61.552","2012-03-15 00:08:26.276","MoonKAM Live","Ebb","forward","1001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=321","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=322","","Emily Dickinson"
"51","-146.8169","77.9223","-145.5085","81.4222","-141.3842","80.3021","-152.9621","80.0659","","","","","62.825","6","0.000","60.165","2012-03-15 00:09:59","MoonKAM Live","Ebb","forward","1001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=327","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=328","","Emily Dickinson"
"52","-142.46","43.729","-141.898","46.609","-141.151","45.658","-143.52","45.603","","","","","52.614","6","0.000","50.248","2012-03-15 00:21:00","MoonKAM Live","Ebb","forward","1001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=331","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=332","","Emily Dickinson"
"53","-142.2503","36.4733","-141.7589","39.2331","-141.1222","38.3189","-143.1483","38.2719","","","","","50.488","6","0.000","48.227","2012-03-15 00:23:19","MoonKAM Live","Ebb","forward","1001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=335","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=336","","Emily Dickinson"
"2369","-141.4645","15.5215","-141.4635","15.4735","-142.1495","14.7135","-142.1985","16.345","-140.7475","16.359","-140.763","14.7275","44.438","6","49.473","41.434","2012-03-15 00:29:15","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379588","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379589","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2369","UCSD"
"2370","-141.4505","14.0225","-141.4495","13.9755","-142.1256","13.2211","-142.1733","14.8396","-140.7444","14.8536","-140.7584","13.2341","44.103","6","49.093","41.113","2012-03-15 00:29:43","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379593","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379594","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2370","UCSD"
"2371","-141.4365","12.5234","-141.4355","12.4764","-142.1032","11.7276","-142.1491","13.3342","-140.7399","13.3472","-140.7538","11.7406","43.775","6","48.717","40.813","2012-03-15 00:30:11","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379597","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379598","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2371","UCSD"
"2372","-141.4225","11.0226","-141.4215","10.9766","-142.0808","10.2334","-142.1258","11.8278","-140.7352","11.8408","-140.7482","10.2464","43.453","6","48.346","40.511","2012-03-15 00:30:39","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379601","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379602","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2372","UCSD"
"2373","-141.409","9.5754","-141.4086","9.5304","-142.0602","8.7916","-142.1038","10.3752","-140.7304","10.3882","-140.7428","8.8046","43.151","6","48.019","40.214","2012-03-15 00:31:06","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379605","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379606","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2373","UCSD"
"2374","-141.3958","8.1282","-141.3955","8.0832","-142.0409","7.3498","-142.0829","8.9226","-140.7251","8.9353","-140.7364","7.3625","42.855","6","47.691","39.945","2012-03-15 00:31:33","MoonKAM Live","Flow","nadir","5001"," http://images.moonkam.ucsd.edu/main.php?g2_itemId=379609","http://images.moonkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=379610","https://moonkam.ucsd.edu/files/kml/kml_generator.php?ccfcommand_id=2374","UCSD"
